quantify_bits,decomposition_rank,bitstream_length,task_performance
1,0,512.0,0.1000
2,0,528.3733,0.2434
3,0,640.602,0.8260
4,0,706.9108,0.9100
5,0,986.1607,0.9183
6,0,1469.0597,0.9216
7,0,1969.2239,0.9224
8,0,2479.794,0.9218
1,1,561.0,0.2553
2,1,563.7582,0.2591
3,1,579.5458,0.6692
4,1,589.5387,0.7868
5,1,621.7741,0.7902
6,1,667.0577,0.7948
7,1,713.9428,0.7949
8,1,760.7148,0.7955
1,2,610.0,0.8186
2,2,634.8912,0.3186
3,2,643.0348,0.9039
4,2,698.6195,0.9126
5,2,780.2942,0.9165
6,2,871.9703,0.9167
7,2,966.7181,0.9169
8,2,1061.1056,0.9171
1,4,708.0,0.6695
2,4,795.5376,0.8517
3,4,845.3875,0.8883
4,4,997.3268,0.9119
5,4,1186.3305,0.9155
6,4,1379.4941,0.9168
7,4,1573.4984,0.9170
8,4,1765.0587,0.9172
1,8,904.0,0.7603
2,8,1090.2328,0.8607
3,8,1222.1468,0.8954
4,8,1574.2853,0.9159
5,8,1960.9045,0.9200
6,8,2353.8513,0.9188
7,8,2745.8989,0.9191
8,8,3134.5887,0.9197
